EDUCATIONORGANIZATIONCATEGORYDESCRIPTOR,GRADELEVELDESCRIPTOR,SCHOOLID,SCHOOLYEAR,LOCALEDUCATIONAGENCYID,SCHOOLYEAR,ADDRESSTYPEDESCRIPTOR,STATEABBREVIATIONDESCRIPTOR,CITY,POSTALCODE,STREETNUMBERNAME,LOCALEDESCRIPTOR,APARTMENTROOMSUITENUMBER,BUILDINGSITENUMBER,CONGRESSIONALDISTRICT,COUNTYFIPSCODE,DONOTPUBLISHINDICATOR,LATITUDE,LONGITUDE,NAMEOFCOUNTY,BEGINDATE,ENDDATE,ADMINISTRATIVEFUNDINGCONTROLDESCRIPTOR,CHARTERAPPROVALAGENCYTYPEDESCRIPTOR,CHARTERSTATUSDESCRIPTOR,EDUCATIONORGANIZATIONIDENTIFICATIONSYSTEMDESCRIPTOR,IDENTIFICATIONCODE,INDICATORDESCRIPTOR,INDICATORGROUPDESCRIPTOR,INDICATORLEVELDESCRIPTOR,DESIGNATEDBY,INDICATORVALUE,BEGINDATE,ENDDATE,INSTITUTIONTELEPHONENUMBERTYPEDESCRIPTOR,TELEPHONENUMBER,INTERNATIONALADDRESSES_ADDRESSTYPEDESCRIPTOR,INTERNATIONALADDRESSES_COUNTRYDESCRIPTOR,INTERNATIONALADDRESSES_ADDRESSLINE1,INTERNATIONALADDRESSES_ADDRESSLINE2,ADDRESSLINE3,ADDRESSLINE4,BEGINDATE,ENDDATE,INTERNATIONALADDRESSES_LATITUDE,INTERNATIONALADDRESSES_LONGITUDE,INTERNETACCESSDESCRIPTOR,MAGNETSPECIALPROGRAMEMPHASISSCHOOLDESCRIPTOR,NAMEOFINSTITUTION,OPERATIONALSTATUSDESCRIPTOR,SCHOOLCATEGORYDESCRIPTOR,SCHOOLTYPEDESCRIPTOR,SHORTNAMEOFINSTITUTION,TITLEIPARTASCHOOLDESIGNATIONDESCRIPTOR,WEBSITE,POSTSECONDARYINSTITUTIONID,TX_PKFULLDAYWAIVER,TX_ADDITIONALDAYSPROGRAM,TX_NUMBEROFBULLYINGINCIDENTS,TX_NUMBEROFCYBERBULLYINGINCIDENTS,TX_CAMPUSENROLLMENTTYPE,TX_BEGINDATE,TX_ENDDATE,TX_NSLPTYPE,TX_BEGINDATE,TX_ENDDATE,TX_NUMBERCHARTERSTUDENTSENROLLED,TX_CHARTEREDUCATIONALENROLLMENTCAPACITY,TX_CHARTERADMISSIONWAITLIST,TX_BEGINDATE,TX_ENDDATE,TX_ELOTYPE,TX_BEGINDATE,TX_ENDDATE,TX_ELOACTIVITY,TX_ELODAYSSCHEDULEDPERYEAR,TX_ELOMINUTESSCHEDULEDPERDAY
,EE-5,114,2022,227901,2022,Campus,TX,Austin,78704,3001 S 1st St,,,,,,N,30.234063,-97.763364,,,,,,,,,,,,,,,,Work,(512) 414-2070,,,,,,,,,,,,,Dawson Elementary,,,CAMPUS,Dawson Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,PK-6,115,2022,227901,2022,Campus,TX,Austin,78704,906 W Milton St,,,,,,N,30.2506,-97.75967,,,,,,,,,,,,,,,,Work,(512) 414-2074,,,,,,,,,,,,,EDAEP,,,CAMPUS,EDAEP,N,,,,,,,,,,,,,,,,,,,,,,,
,EE-5,116,2022,227901,2022,Campus,TX,Austin,78702,3601 Govalle Ave,,,,,,N,30.263261,-97.698558,,,,,,,,,,,,,,,,Work,(512) 414-2078,,,,,,,,,,,,,Govalle Elementary,,,CAMPUS,Govalle Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,117,2022,227901,2022,Campus,TX,Austin,78757,6310 Treadwell Blvd,,,,,,N,30.343558,-97.748693,,,,,,,,,,,,,,,,Work,(512) 414-2082,,,,,,,,,,,,,Gullett Elementary,,,CAMPUS,Gullett Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,118,2022,227901,2022,Campus,TX,Austin,78723,1711 Wheless Ln,,,,,,N,30.314548,-97.691219,,,,,,,,,,,,,,,,Work,(512) 414-2085,,,,,,,,,,,,,Harris Elementary,,,CAMPUS,Harris Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,119,2022,227901,2022,Campus,TX,Austin,78731,4900 Fairview Dr,,,,,,N,30.330412,-97.760209,,,,,,,,,,,,,,,,Work,(512) 414-2090,,,,,,,,,,,,,Highland Park Elementary,,,CAMPUS,Highland Park Elementary,N,,,N,,,,,,,,,,,,,,,,,,,,
,EE-6,121,2022,227901,2022,Campus,TX,Austin,78705,3308 Hampton Rd,,,,,,N,30.293535,-97.727807,,,,,,,,,,,,,,,,Work,(512) 414-2098,,,,,,,,,,,,,Lee Elementary,,,CAMPUS,Lee Elementary,N,,,,,,,,,,,,,,,,,,,,,,,
,EE-5,122,2022,227901,2022,Campus,TX,Austin,78722,3808 Maplewood Ave,,,,,,N,30.293337,-97.714901,,,,,,,,,,,,,,,,Work,(512) 414-4402,,,,,,,,,,,,,Maplewood Elementary,,,CAMPUS,Maplewood Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-6,123,2022,227901,2022,Campus,TX,Austin,78703,906 W Lynn St,,,,,,N,30.278216,-97.760795,,,,,,,,,,,,,,,,Work,(512) 414-4406,,,,,,,,,,,,,Mathews Elementary,,,CAMPUS,Mathews Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,124,2022,227901,2022,Campus,TX,Austin,78702,84 Robert T Martinez Jr St,,,,,,N,30.254569,-97.722017,,,,,,,,,,,,,,,,Work,(512) 414-4408,,,,,,,,,,,,,Metz Elementary,,,CAMPUS,Metz Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,125,2022,227901,2022,Campus,TX,Austin,78702,3601 Webberville Rd,,,,,,N,30.271751,-97.703905,,,,,,,,,,,,,,,,Work,(512) 414-4413,,,,,,,,,,,,,Oak Springs Elementary,,,CAMPUS,Oak Springs Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,126,2022,227901,2022,Campus,TX,Austin,78721,1135 Garland Ave,,,,,,N,30.269893,-97.684597,,,,,,,,,,,,,,,,Work,(512) 414-4417,,,,,,,,,,,,,Ortega Elementary,,,CAMPUS,Ortega Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,127,2022,227901,2022,Campus,TX,Austin,78702,73 San Marcos St,,,,,,N,30.257564,-97.73483,,,,,,,,,,,,,,,,Work,(512) 414-4423,,,,,,,,,,,,,Sanchez Elementary,,,CAMPUS,Sanchez Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,129,2022,227901,2022,Campus,TX,Austin,78723,3100 Rogge Ln,,,,,,N,30.30317,-97.676195,,,,,,,,,,,,,,,,Work,(512) 414-4445,,,,,,,,,,,,,Pecan Springs Elementary,,,CAMPUS,Pecan Springs Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,130,2022,227901,2022,Campus,TX,Austin,78745,6405 Circle S Rd,,,,,,N,30.196079,-97.775643,,,,,,,,,,,,,,,,Work,(512) 414-4453,,,,,,,,,,,,,Pleasant Hill Elementary,,,CAMPUS,Pleasant Hill Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,132,2022,227901,2022,Campus,TX,Austin,78752,405 Denson Dr,,,,,,N,30.328073,-97.720136,,,,,,,,,,,,,,,,Work,(512) 414-4464,,,,,,,,,,,,,Reilly Elementary,,,CAMPUS,Reilly Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,133,2022,227901,2022,Campus,TX,Austin,78751,5005 Caswell Ave,,,,,,N,30.311267,-97.716459,,,,,,,,,,,,,,,,Work,(512) 414-4469,,,,,,,,,,,,,Ridgetop Elementary,,,CAMPUS,Ridgetop Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,136,2022,227901,2022,Campus,TX,Austin,78745,600 W Saint Elmo Rd,,,,,,N,30.222282,-97.773501,,,,,,,,,,,,,,,,Work,(512) 414-4477,,,,,,,,,,,,,St Elmo Elementary,,,CAMPUS,St Elmo Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,138,2022,227901,2022,Campus,TX,Austin,78727,12207 Brigadoon Ln,,,,,,N,30.418989,-97.718641,,,,,,,,,,,,,,,,Work,(512) 414-4484,,,,,,,,,,,,,Summitt Elementary,,,CAMPUS,Summitt Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,140,2022,227901,2022,Campus,TX,Austin,78704,2010 Alameda Dr,,,,,,N,30.24129,-97.745999,,,,,,,,,,,,,,,,Work,(512) 414-4495,,,,,,,,,,,,,Travis Heights Elementary,,,CAMPUS,Travis Heights Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,141,2022,227901,2022,Campus,TX,Austin,78753,401 W Braker Ln,,,,,,N,30.379732,-97.68408,,,,,,,,,,,,,,,,Work,(512) 414-4499,,,,,,,,,,,,,Walnut Creek Elementary,,,CAMPUS,Walnut Creek Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,143,2022,227901,2022,Campus,TX,Austin,78749,6001 Westcreek Dr,,,,,,N,30.233367,-97.84348,,,,,,,,,,,,,,,,Work,(512) 414-1780,,,,,,,,,,,,,Patton Elementary,,,CAMPUS,Patton Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,144,2022,227901,2022,Campus,TX,Austin,78757,1406 Dale Dr,,,,,,N,30.354004,-97.719286,,,,,,,,,,,,,,,,Work,(512) 414-2315,,,,,,,,,,,,,Wooten Elementary,,,CAMPUS,Wooten Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,145,2022,227901,2022,Campus,TX,Austin,78702,310 Robert T Martinez Jr St,,,,,,N,30.258402,-97.720692,,,,,,,,,,,,,,,,Work,(512) 414-2318,,,,,,,,,,,,,Zavala Elementary,,,CAMPUS,Zavala Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,146,2022,227901,2022,Campus,TX,Austin,78704,1900 Bluebonnet Ln,,,,,,N,30.252728,-97.774652,,,,,,,,,,,,,,,,Work,(512) 414-2327,,,,,,,,,,,,,Zilker Elementary,,,CAMPUS,Zilker Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,147,2022,227901,2022,Campus,TX,Manchaca,78652,1218 W FM 1626,,,,,,N,30.14137201,-97.83496098,,,,,,,,,,,,,,,,Work,(512) 414-2333,,,,,,,,,,,,,Menchaca Elementary,,,CAMPUS,Menchaca Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,148,2022,227901,2022,Campus,TX,Austin,78735,6101 Patton Ranch Rd,,,,,,N,30.237738,-97.85805,,,,,,,,,,,,,,,,Work,(512) 414-2336,,,,,,,,,,,,,Oak Hill Elementary,,,CAMPUS,Oak Hill Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,149,2022,227901,2022,Campus,TX,Austin,78753,400 Cooper Dr,,,,,,N,30.361234,-97.695886,,,,,,,,,,,,,,,,Work,(512) 414-2008,,,,,,,,,,,,,Barrington Elementary,,,CAMPUS,Barrington Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,150,2022,227901,2022,Campus,TX,Austin,78721,1203 Springdale Rd,,,,,,N,30.27941,-97.685403,,,,,,,,,,,,,,,,Work,(512) 414-2347,,,,,,,,,,,,,Norman-Sims Elementary,,,CAMPUS,Norman-Sims Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,151,2022,227901,2022,Campus,TX,Austin,78757,3025 Crosscreek Dr,,,,,,N,30.368911,-97.733521,,,,,,,,,,,,,,,,Work,(512) 414-2350,,,,,,,,,,,,,Pillow Elementary,,,CAMPUS,Pillow Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,152,2022,227901,2022,Campus,TX,Austin,78758,1412 Norseman Ter,,,,,,N,30.364811,-97.709163,,,,,,,,,,,,,,,,Work,(512) 414-2353,,,,,,,,,,,,,Wooldridge Elementary,,,CAMPUS,Wooldridge Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,154,2022,227901,2022,Campus,TX,Austin,78757,2608 Richcreek Rd,,,,,,N,30.352764,-97.736675,,,,,,,,,,,,,,,,Work,(512) 414-2365,,,,,,,,,,,,,Doss Elementary,,,CAMPUS,Doss Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,155,2022,227901,2022,Campus,TX,Austin,78759,8601 Tallwood Dr,,,,,,N,30.376358,-97.748581,,,,,,,,,,,,,,,,Work,(512) 414-2369,,,,,,,,,,,,,Hill Elementary,,,CAMPUS,Hill Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,156,2022,227901,2022,Campus,TX,Austin,78745,1010 Turtle Creek Blvd,,,,,,N,30.205619,-97.788778,,,,,,,,,,,,,,,,Work,(512) 414-2388,,,,,,,,,,,,,Odom Elementary,,,CAMPUS,Odom Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,157,2022,227901,2022,Campus,TX,Austin,78723,3500 Susquehanna Ln,,,,,,N,30.314803,-97.665211,,,,,,,,,,,,,,,,Work,(512) 414-2390,,,,,,,,,,,,,Winn Elementary,,,CAMPUS,Winn Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,158,2022,227901,2022,Campus,TX,Austin,78745,3000 Jones Rd,,,,,,N,30.2283,-97.806465,,,,,,,,,,,,,,,,Work,(512) 414-2392,,,,,,,,,,,,,Sunset Valley Elementary,,,CAMPUS,Sunset Valley Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,159,2022,227901,2022,Campus,TX,Austin,78753,11211 Tom Adams Dr,,,,,,N,30.372361,-97.668859,,,,,,,,,,,,,,,,Work,(512) 414-2395,,,,,,,,,,,,,Graham Elementary,,,CAMPUS,Graham Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,160,2022,227901,2022,Campus,TX,Austin,78741,2800 Metcalfe Rd,,,,,,N,30.224532,-97.737915,,,,,,,,,,,,,,,,Work,(512) 414-2398,,,,,,,,,,,,,Linder Elementary,,,CAMPUS,Linder Elementary,Y,,,,,,,,,,,,,,,,,,,,,,,
,EE-5,161,2022,227901,2022,Campus,TX,Austin,78758,1511 Cripple Creek Dr,,,,,,N,30.377629,-97.704809,,,,,,,,,,,,,,,,Work,(512) 414-2510,,,,,,,,,,,,,Cook Elementary,,,CAMPUS,Cook Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,162,2022,227901,2022,Campus,TX,Austin,78744,5409 Ponciana Dr,,,,,,N,30.196908,-97.755182,,,,,,,,,,,,,,,,Work,(512) 414-2517,,,,,,,,,,,,,Houston Elementary,,,CAMPUS,Houston Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,163,2022,227901,2022,Campus,TX,Austin,78753,8301 Furness Dr,,,,,,N,30.342466,-97.688007,,,,,,,,,,,,,,,,Work,(512) 841-2100,,,,,,,,,,,,,Hart Elementary,,,CAMPUS,Hart Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,164,2022,227901,2022,Campus,TX,Austin,78752,1101 Wheatley Ave,,,,,,N,30.332763,-97.694027,,,,,,,,,,,,,,,,Work,(512) 841-8400,,,,,,,,,,,,,Pickle Elementary,,,CAMPUS,Pickle Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,165,2022,227901,2022,Campus,TX,Austin,78758,1001 W Braker Ln,,,,,,N,30.382992,-97.690427,,,,,,,,,,,,,,,,Work,(512) 841-2500,,,,,,,,,,,,,McBee Elementary,,,CAMPUS,McBee Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,166,2022,227901,2022,Campus,TX,Austin,78748,500 Mairo St,,,,,,N,30.181438,-97.79151,,,,,,,,,,,,,,,,Work,(512) 414-2525,,,,,,,,,,,,,Williams Elementary,,,CAMPUS,Williams Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,168,2022,227901,2022,Campus,TX,Austin,78744,2206 Blue Meadow Dr,,,,,,N,30.182109,-97.762933,,,,,,,,,,,,,,,,Work,(512) 414-1765,,,,,,,,,,,,,Langford Elementary,,,CAMPUS,Langford Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,170,2022,227901,2022,Campus,TX,Austin,78749,8101 Croftwood Dr,,,,,,N,30.2037,-97.839808,,,,,,,,,,,,,,,,Work,(512) 414-2537,,,,,,,,,,,,,Boone Elementary,,,CAMPUS,Boone Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,171,2022,227901,2022,Campus,TX,Austin,78744,7601 Dixie Dr,,,,,,N,30.165058,-97.743341,,,,,,,,,,,,,,,,Work,(512) 414-2545,,,,,,,,,,,,,Palm Elementary,,,CAMPUS,Palm Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,172,2022,227901,2022,Campus,TX,Austin,78748,9800 Curlew Dr,,,,,,N,30.177745,-97.835249,,,,,,,,,,,,,,,,Work,(512) 414-2547,,,,,,,,,,,,,Kocurek Elementary,,,CAMPUS,Kocurek Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,173,2022,227901,2022,Campus,TX,Austin,78748,9400 Texas Oaks Dr,,,,,,N,30.174618,-97.814794,,,,,,,,,,,,,,,,Work,(512) 841-6900,,,,,,,,,,,,,Casey Elementary,,,CAMPUS,Casey Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,174,2022,227901,2022,Campus,TX,Austin,78744,4400 Franklin Park Dr,,,,,,N,30.200321,-97.746655,,,,,,,,,,,,,,,,Work,(512) 841-7200,,,,,,,,,,,,,Rodriguez Elementary,,,CAMPUS,Rodriguez Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,175,2022,227901,2022,Campus,TX,Austin,78744,5605 Nuckols Crossing Rd,,,,,,N,30.188397,-97.740487,,,,,,,,,,,,,,,,Work,(512) 414-2556,,,,,,,,,,,,,Widen Elementary,,,CAMPUS,Widen Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,176,2022,227901,2022,Campus,TX,Austin,78704,3800 S 2nd St,,,,,,N,30.229823,-97.772264,,,,,,,,,,,,,,,,Work,(512) 414-1756,,,,,,,,,,,,,Galindo Elementary,,,CAMPUS,Galindo Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-KG,177,2022,227901,2022,Campus,TX,Austin,78744,5200 Freidrich Ln,,,,,,N,30.201531,-97.755444,,,,,,,,,,,,,,,,Work,(512) 414-5520,,,,,,,,,,,,,Uphaus Early Childhood Ctr,,,CAMPUS,Uphaus Early Childhood Ctr,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,178,2022,227901,2022,Campus,TX,Austin,78724,6711 Johnny Morris Rd,,,,,,N,30.30114,-97.646591,,,,,,,,,,,,,,,,Work,(512) 414-2578,,,,,,,,,,,,,Jordan Elementary,,,CAMPUS,Jordan Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,179,2022,227901,2022,Campus,TX,Austin,78727,5214 Duval Rd,,,,,,N,30.419025,-97.741101,,,,,,,,,,,,,,,,Work,(512) 414-2580,,,,,,,,,,,,,Davis Elementary,,,CAMPUS,Davis Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,180,2022,227901,2022,Campus,TX,Austin,78739,5913 La Crosse Ave ,,,,,,N,30.190994,-97.881553,,,,,,,,,,,,,,,,Work,(512) 414-2584,,,,,,,,,,,,,Kiker Elementary,,,CAMPUS,Kiker Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,181,2022,227901,2022,Campus,TX,Austin,78749,6201 Davis Ln,,,,,,N,30.211525,-97.876838,,,,,,,,,,,,,,,,Work,(512) 841-2400,,,,,,,,,,,,,Mills Elementary,,,CAMPUS,Mills Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,182,2022,227901,2022,Campus,TX,Austin,78748,12009 Buckingham Gate Rd,,,,,,N,30.153828,-97.851289,,,,,,,,,,,,,,,,Work,(512) 841-7100,,,,,,,,,,,,,Baranoff Elementary,,,CAMPUS,Baranoff Elementary,N,,,,,,,,,,,,,,,,,,,,,,,
,EE-5,183,2022,227901,2022,Campus,TX,Austin,78748,2817 Kentish Dr,,,,,,N,30.188166,-97.833726,,,,,,,,,,,,,,,,Work,(512) 841-2700,,,,,,,,,,,,,Cowan Elementary,,,CAMPUS,Cowan Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,184,2022,227901,2022,Campus,TX,Austin,78739,7525 La Crosse Ave,,,,,,N,30.19455,-97.906524,,,,,,,,,,,,,,,,Work,(512) 841-9200,,,,,,,,,,,,,Clayton Elementary,,,CAMPUS,Clayton Elementary,N,,,N,,,,,,,,,,,,,,,,,,,,
,EE-6,185,2022,227901,2022,Campus,TX,Austin,78744,8601 Vertex Blvd,,,,,,N,30.156019,-97.751703,,,,,,,,,,,,,,,,Work,(512) 841-8800,,,,,,,,,,,,,Blazier Elementary,,,CAMPUS,Blazier Elementary,Y,,,N,,,,,,,,,,,,,,,,,,,,
,EE-5,186,2022,227901,2022,Campus,TX,Austin,78753,102 E Rundberg Ln,,,,,,N,30.361816,-97.692616,,,,,,,,,,,,,,,,Work,(512) 414-8400,,,,,,,,,,,,,Guerrero-Thompson Elem,,,CAMPUS,Guerrero-Thompson Elem,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,187,2022,227901,2022,Campus,TX,Austin,78739,12200 Meridian Park Blvd,,,,,,N,30.185102,-97.923034,,,,,,,,,,,,,,,,Work,(512) 841-8900,,,,,,,,,,,,,Baldwin Elementary,,,CAMPUS,Baldwin Elementary,N,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,188,2022,227901,2022,Campus,TX,Austin,78758,2011 W Rundberg Ln,,,,,,N,30.373545,-97.720051,,,,,,,,,,,,,,,,Work,(512) 841-9600,,,,,,,,,,,,,Padron Elementary,,,CAMPUS,Padron Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,189,2022,227901,2022,Campus,TX,Austin,78724,7201 Colony Loop Dr,,,,,,N,30.299915,-97.637011,,,,,,,,,,,,,,,,Work,(512) 841-9300,,,,,,,,,,,,,Overton Elementary,,,CAMPUS,Overton Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,EE-5,190,2022,227901,2022,Campus,TX,Austin,78744,7500 S Pleasant Valley Rd,,,,,,N,30.170478,-97.755809,,,,,,,,,,,,,,,,Work,(512) 841-9100,,,,,,,,,,,,,Perez Elementary,,,CAMPUS,Perez Elementary,Y,,,Y,,,,,,,,,,,,,,,,,,,,
,PK,194,2022,227901,2022,Campus,TX,Austin,78703,1111 W 6th St,,,,,,N,30.271793,-97.756584,,,,,,,,,,,,,,,,Work,(512) 414-4790,,,,,,,,,,,,,Austin ISD PreK Partnership PKP,,,CAMPUS,Austin ISD PreK Partnership PKP,N,,,Y,,,,,,,,,,,,,,,,,,,,
